dataset,instance,method,makespan,runtime_seconds,n_jobs,n_machines,size
edata,abz5.fjs,FIFO,1439,0.1,10,10,100
edata,abz6.fjs,FIFO,1254,0.1,10,10,100
edata,abz7.fjs,FIFO,886,0.7,20,15,300
edata,abz8.fjs,FIFO,831,0.6,20,15,300
edata,abz9.fjs,FIFO,938,0.7,20,15,300
edata,car1.fjs,FIFO,8240,0.1,11,5,55
edata,car2.fjs,FIFO,7819,0.1,13,4,52
edata,car3.fjs,FIFO,9500,0.2,12,5,60
edata,car4.fjs,FIFO,9390,0.1,14,4,56
edata,car5.fjs,FIFO,9691,0.3,10,6,60
edata,car6.fjs,FIFO,10805,0.8,8,9,72
edata,car7.fjs,FIFO,7690,0.2,7,7,49
edata,car8.fjs,FIFO,9769,0.5,8,8,64
edata,la01.fjs,FIFO,957,0.0,10,5,50
edata,la02.fjs,FIFO,838,0.0,10,5,50
edata,la03.fjs,FIFO,720,0.0,10,5,50
edata,la04.fjs,FIFO,784,0.0,10,5,50
edata,la05.fjs,FIFO,623,0.0,10,5,50
edata,la06.fjs,FIFO,1104,0.0,15,5,75
edata,la07.fjs,FIFO,1052,0.0,15,5,75
edata,la08.fjs,FIFO,966,0.0,15,5,75
edata,la09.fjs,FIFO,1068,0.0,15,5,75
edata,la10.fjs,FIFO,1049,0.0,15,5,75
edata,la11.fjs,FIFO,1424,0.0,20,5,100
edata,la12.fjs,FIFO,1235,0.0,20,5,100
edata,la13.fjs,FIFO,1266,0.0,20,5,100
edata,la14.fjs,FIFO,1340,0.0,20,5,100
edata,la15.fjs,FIFO,1510,0.0,20,5,100
edata,la16.fjs,FIFO,1220,0.1,10,10,100
edata,la17.fjs,FIFO,898,0.1,10,10,100
edata,la18.fjs,FIFO,1077,0.1,10,10,100
edata,la19.fjs,FIFO,1003,0.1,10,10,100
edata,la20.fjs,FIFO,1217,0.1,10,10,100
edata,la21.fjs,FIFO,1461,0.2,15,10,150
edata,la22.fjs,FIFO,1090,0.1,15,10,150
edata,la23.fjs,FIFO,1390,0.2,15,10,150
edata,la24.fjs,FIFO,1420,0.2,15,10,150
edata,la25.fjs,FIFO,1476,0.2,15,10,150
edata,la26.fjs,FIFO,1514,0.2,20,10,200
edata,la27.fjs,FIFO,1880,0.4,20,10,200
edata,la28.fjs,FIFO,1542,0.2,20,10,200
edata,la29.fjs,FIFO,1657,0.3,20,10,200
edata,la30.fjs,FIFO,1672,0.3,20,10,200
edata,la31.fjs,FIFO,2037,0.5,30,10,300
edata,la32.fjs,FIFO,2238,0.6,30,10,300
edata,la33.fjs,FIFO,2353,0.7,30,10,300
edata,la34.fjs,FIFO,2144,0.6,30,10,300
edata,la35.fjs,FIFO,2262,0.7,30,10,300
edata,la36.fjs,FIFO,1688,0.8,15,15,225
edata,la37.fjs,FIFO,1783,0.9,15,15,225
edata,la38.fjs,FIFO,1664,0.8,15,15,225
edata,la39.fjs,FIFO,1622,0.8,15,15,225
edata,la40.fjs,FIFO,1582,0.7,15,15,225
edata,mt06.fjs,FIFO,64,0.0,6,6,36
edata,mt10.fjs,FIFO,1255,0.1,10,10,100
edata,mt20.fjs,FIFO,1536,0.0,20,5,100
edata,orb1.fjs,FIFO,1217,0.1,10,10,100
edata,orb10.fjs,FIFO,1314,0.1,10,10,100
edata,orb2.fjs,FIFO,1135,0.1,10,10,100
edata,orb3.fjs,FIFO,1195,0.1,10,10,100
edata,orb4.fjs,FIFO,1408,0.1,10,10,100
edata,orb5.fjs,FIFO,1067,0.1,10,10,100
